station_name	station_code	parking_lat	parking_lon
adarsh nagar	AHNR		
ashram	AHRM		
aiims	AIIMS		
arjan garh	AJG	28.493346	77.149116
ashok park main	APMN		
akshardham	ASDM	28.617869	77.279494
arthala	ATHA		
anand vihar isbt	AVIT		
azadpur	AZU	28.706714	77.182017
bata chowk	BACH	28.385835	77.312806
badarpur border	BAPB		
botanical garden	BCGN	28.56398	77.335356
haiderpur badli mor	BIMR		
bhikaji cama place	BKCP		
badkal mor	BKMR		
barakhamba road	BRKR		
bahadurgarh city	BUSS		
raja nahar singh (ballabhgarh)	BVHM	28.339222	77.136991
chirag delhi	CDLI		
chandni chowk	CHK		
chhatarpur	CHTP	28.505996	77.174271
brig. hoshiar singh	CIPK	28.697953	76.916889
civil lines	CL		
central secretariat	CTST		
chawri bazar	CWBR		
dabri mor - janakpuri south	DBMR		
durgabai deshmukh south campus	DDSC		
delhi cantt.	DLIC		
delhi gate	DLIG		
dwarka mor	DM	28.619863	77.03282
dwarka mor	DM	28.618723	77.033418
dhansa bus stand	DNBT		
dwarka sector - 11	DSE	28.586346	77.05015
dwarka sector - 8	DSET		
dwarka sector - 14	DSFN	28.602287	77.0260741
dilshad garden	DSG	28.3675832	77.321455
dilshad garden	DSG	28.3675832	77.321455
dilshad garden	DSG	28.3675832	77.321455
dashrathpuri	DSHP		
dwarka sector - 9	DSN	28.573994	77.064936
dwarka sector - 10	DST		
dwarka sector - 13	DSTN		
dwarka sector - 21	DSTO		
dwarka sector - 21	DSTO		
dwarka sector - 12	DSW		
dwarka	DW		
east azad nagar	EANR		
escorts mujesar	ECMJ	28.369331	77.315081
escorts mujesar	ECMJ	28.370183	77.314101
esi-basaidarapur	ESIH		
govindpuri	GDPI	28.544743	77.26379
guru dronacharya	GE	28.480926	77.102001
golf course	GEC		
ghevra metro station	GHEM		
greater kailash	GKEI		
gokulpuri	GKPR		
green park	GNPK		
guru teg bahadur nagar	GTBR	28.69	77.2
ghitorni	GTNI	28.493405	77.14887
millennium city centre gurugram	HCC	28.460806	77.073933
millennium city centre gurugram	HCC	28.460813	77.073922
hindon river	HDNR	28.673913	77.404748
hauz khas	HKS	28.545314	77.20704
harkesh nagar okhla	HNOK	28.542494	77.276762
indraprastha	IDPT	28.620403	77.249122
iffco chowk	IFOC	28.47178	77.07221
terminal 1-igi airport	IGDA		
iit	IIT		
inderlok	ILOK	28.673989	77.169303
dilli haat - ina	INA		
i.p. extension	IPE		
ito	ITO		
sukhdev vihar	IWNR		
jama masjid	JAMD		
jamia milia islamiya	JANR	26.562438	77.287174
jor bagh	JB		
jafrabad	JFRB		
jangpura	JGPA		
jahangirpuri	JGPI	28.725597	77.163368
johri enclave	JIEE		
jasola-apollo	JLA	28.539084	77.283765
jasola vihar shaheen bagh	JLA8	28.544	77.295
jhilmil	JLML	28.675647	77.312431
jln stadium	JLNS		
janpath	JNPH		
janak puri east	JPE	28.63331	77.087564
janak puri west	JPW		
jhandewalan	JW		
karol bagh	KB		
kohat enclave	KE	28.697819	77.141572
kohat enclave	KE	28.697334	77.141595
kashmere gate	KG	28.665	77.227
kashmere gate	KG	28.667	77.227
kashmere gate	KG	28.666	77.226
kashmere gate	KG	28.668	77.228
kailash colony	KHCY		
krishna nagar	KHNA		
kalindi kunj	KIKJ	28.542192	77.31216
kalkaji mandir	KJMD	28.54944	77.25861
karkarduma	KKDA	28.648623	77.306502
karkarduma court	KKDC		
khan market	KM		
kanhaiya nagar	KN	28.681713	77.16468
kanhaiya nagar	KN	28.683024	77.164668
kanhaiya nagar	KN	28.681646	77.164775
kirti nagar	KNR	28.65548	77.151547
