station_name	gate_location	parking_lat	parking_lon
adarsh nagar			
ashram			
aiims			
arjan garh	Near Gate No.1	28.493346	77.149116
ashok park main			
akshardham	Basement	28.617869	77.279494
arthala			
anand vihar isbt			
azadpur	Near Gate Number-04	28.706714	77.182017
bata chowk	Near Gate No. 3	28.385835	77.312806
botanical garden	Near Gate No. 3	28.563980	77.335356
bhikaji cama place			
badkal mor			
barakhamba road			
bahadurgarh city			
raja nahar singh (ballabhgarh)	Near Gate No. 2	28.339222	77.136991
chirag delhi			
chandni chowk			
chhatarpur	Near Gate No. 2	28.505996	77.174271
brig. hoshiar singh	Near Gate No. 2	28.697953	76.916889
civil lines			
central secretariat			
chawri bazar			
dabri mor - janakpuri south			
durgabai deshmukh south campus			
delhi cantt.			
delhi gate			
dwarka mor	Near Gate 01	28.619863	77.032820
dwarka mor	Near Gate 02	28.618723	77.033418
dwarka sector - 11	Near Gate 01 & 02	28.586346	77.050150
dwarka sector - 8			
dwarka sector - 14	Near Gate 01	28.602287	77.026074
dilshad garden	Near Gate No 2	28.367583	77.321455
dilshad garden	Near Gate No 1	28.367583	77.321455
dilshad garden	Near Gate No 2	28.367583	77.321455
dashrathpuri			
dwarka sector - 9	Near Gate 01	28.573994	77.064936
dwarka sector - 10			
dwarka sector - 13			
east azad nagar			
escorts mujesar	Near Gate No. 2	28.369331	77.315081
escorts mujesar	Near Gate No. 3	28.370183	77.314101
esi-basaidarapur			
govindpuri	Near Gate No. 2	28.544743	77.263790
guru dronacharya	Near Gate No.1	28.480926	77.102001
golf course			
ghevra metro station			
greater kailash			
gokulpuri			
guru teg bahadur nagar	Near Gate No. 5	28.690000	77.200000
ghitorni	Near Gate No.1	28.493405	77.148870
millennium city centre gurugram	Near Gate No. 4	28.460806	77.073933
millennium city centre gurugram	Near Gate No. 3	28.460813	77.073922
hindon river	Near Gate No.1	28.673913	77.404748
hauz khas	Near Gate No. 3	28.545314	77.207040
harkesh nagar okhla	Near Gate No. 3	28.542494	77.276762
indraprastha	Near Gate No.1	28.620403	77.249122
iffco chowk	Near Gate No. 2	28.471780	77.072210
terminal 1-igi airport			
iit			
inderlok	Near Gate No.1	28.673989	77.169303
dilli haat - ina			
i.p. extension			
ito			
sukhdev vihar			
jama masjid			
jamia milia islamiya	Near Gate Number-03	26.562438	77.287174
jor bagh			
jafrabad			
jangpura			
jahangirpuri	Near Gate No. 1 and 2	28.725597	77.163368
johri enclave			
