station_code,day,hour,BICYCLE,TWO_WHEELER,CAR_JEEP_VAN
AJG,Sunday,00:00,90.0,94.0,82.0
AJG,Sunday,01:00,90.0,94.0,82.0
AJG,Sunday,02:00,90.0,94.0,82.0
AJG,Sunday,03:00,90.0,94.0,82.0
AJG,Sunday,04:00,90.0,94.0,82.0
AJG,Sunday,05:00,90.0,94.0,82.0
AJG,Sunday,06:00,90.0,94.0,82.0
AJG,Sunday,07:00,90.0,94.0,82.0
AJG,Sunday,08:00,90.0,94.0,82.0
AJG,Sunday,09:00,90.0,94.0,82.0
AJG,Sunday,10:00,71.0,81.0,93.0
AJG,Sunday,11:00,71.0,81.0,93.0
AJG,Sunday,12:00,71.0,81.0,93.0
AJG,Sunday,13:00,71.0,81.0,93.0
AJG,Sunday,14:00,57.0,64.0,86.0
AJG,Sunday,15:00,57.0,64.0,86.0
AJG,Sunday,16:00,57.0,64.0,86.0
AJG,Sunday,17:00,57.0,64.0,86.0
AJG,Sunday,18:00,51.0,46.0,82.0
AJG,Sunday,19:00,51.0,46.0,82.0
AJG,Sunday,20:00,51.0,46.0,82.0
AJG,Sunday,21:00,51.0,46.0,82.0
AJG,Sunday,22:00,70.0,72.0,84.0
AJG,Sunday,23:00,70.0,72.0,84.0
AJG,Monday,00:00,95.0,95.0,83.0
AJG,Monday,01:00,95.0,95.0,83.0
AJG,Monday,02:00,95.0,95.0,83.0
AJG,Monday,03:00,95.0,95.0,83.0
AJG,Monday,04:00,95.0,95.0,83.0
AJG,Monday,05:00,95.0,95.0,83.0
AJG,Monday,06:00,95.0,95.0,83.0
AJG,Monday,07:00,95.0,95.0,83.0
AJG,Monday,08:00,95.0,95.0,83.0
AJG,Monday,09:00,95.0,95.0,83.0
AJG,Monday,10:00,53.0,49.0,87.0
AJG,Monday,11:00,53.0,49.0,87.0
AJG,Monday,12:00,53.0,49.0,87.0
AJG,Monday,13:00,53.0,49.0,87.0
AJG,Monday,14:00,25.0,14.0,81.0
AJG,Monday,15:00,25.0,14.0,81.0
AJG,Monday,16:00,25.0,14.0,81.0
