station_name	station_code	elevated	toilet	gate_number	gate_location	divyang_friendly	parking_available	parking_cycle	parking_motorcycle	parking_car	lat	lon
												
												
												
												
												
												
												
arjan garh	AJG	TRUE	TRUE	gate no. 2	gurugram mehrauli road indian metrological department	TRUE	TRUE	32	311	30	28.48082	77.12587
arjan garh	AJG	TRUE	TRUE	gate no. 1	mehrauli gurugram road aya- nagar	FALSE	TRUE	32	311	30	28.48082	77.12587
												
												
akshardham	ASDM	TRUE	TRUE	gate no. 3	foot over bridge	FALSE	TRUE	40	150	120	28.618364	77.279816
akshardham	ASDM	TRUE	TRUE	gate no. 2	parking side	TRUE	TRUE	40	150	120	28.618364	77.279816
akshardham	ASDM	TRUE	TRUE	gate no. 1	east aproach road	TRUE	TRUE	40	150	120	28.618364	77.279816
												
												
												
												
												
azadpur	AZU	TRUE	TRUE	gate no. 4	model town 3	TRUE	TRUE	51	491	48	28.70704725	77.1803931
azadpur	AZU	TRUE	TRUE	gate no. 3	"lal bagh, gt karnal road"	TRUE	TRUE	51	491	48	28.70704725	77.1803931
azadpur	AZU	TRUE	TRUE	gate no. 2	azadpur bus terminal	FALSE	TRUE	51	491	48	28.70704725	77.1803931
azadpur	AZU	TRUE	TRUE	gate no. 1	mcd flats	TRUE	TRUE	51	491	48	28.70704725	77.1803931
bata chowk	BACH	TRUE	TRUE	gate no. 3	radisson blue hotel	TRUE	TRUE	10	250	20	28.38594604	77.31343573
bata chowk	BACH	TRUE	TRUE	gate no. 2	silvercity mall	FALSE	TRUE	10	250	20	28.38594604	77.31343573
bata chowk	BACH	TRUE	TRUE	gate no. 1	eldeco mall	TRUE	TRUE	10	250	20	28.38594604	77.31343573
botanical garden	BCGN	FALSE	TRUE	gate no. 1	captain vijayat thapar marg	TRUE	TRUE	20	750	175	28.56393455	77.33439597
botanical garden	BCGN	FALSE	TRUE	gate no. 4	multilevel parking	TRUE	TRUE	20	750	175	28.56393455	77.33439597
botanical garden	BCGN	FALSE	TRUE	gate no. 3	capt. vijyant thapar marg	TRUE	TRUE	20	750	175	28.56393455	77.33439597
botanical garden	BCGN	FALSE	TRUE	gate no. 2	capt. vijyant thapar marg	TRUE	TRUE	20	750	175	28.56393455	77.33439597
haiderpur badli mor	BIMR	TRUE	TRUE	gate no. 3	"max hospital,shalimar bagh"	FALSE	TRUE	57	552	54	28.73003366	77.14909483
haiderpur badli mor	BIMR	TRUE	TRUE	gate no. 2	kanishka apartments	TRUE	TRUE	57	552	54	28.73003366	77.14909483
haiderpur badli mor	BIMR	TRUE	TRUE	gate no. 1	badli village	FALSE	TRUE	57	552	54	28.73003366	77.14909483
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
chhatarpur	CHTP	TRUE	TRUE	gate no. 3	mg road	FALSE	TRUE	84	810	79	28.506584	77.174866
chhatarpur	CHTP	TRUE	TRUE	gate no. 2	south west delhi	FALSE	TRUE	84	810	79	28.506584	77.174866
chhatarpur	CHTP	TRUE	TRUE	gate no. 1	mg road	TRUE	TRUE	84	810	79	28.506584	77.174866
