station_name	station_code	elevated	toilet	parking_available	parking_cycle	parking_motorcycle	parking_car	gate_location	lat	lon
adarsh nagar	AHNR	TRUE	TRUE	FALSE	0	0	0		28.716569866468900	77.17045000247830
ashram	AHRM	FALSE	TRUE	FALSE	0	0	0		28.5724290134831	77.25857491874660
aiims	AIIMS	FALSE	TRUE	FALSE	0	0	0		28.56685091985540	77.20782729124200
arjan garh	AJG	TRUE	TRUE	TRUE	32	311	30	Near Gate No.1	28.48082	77.12587
ashok park main	APMN	TRUE	TRUE	FALSE	0	0	0		28.671572	77.155159
akshardham	ASDM	TRUE	TRUE	TRUE	40	150	120	Basement	28.618364	77.279816
arthala	ATHA	TRUE	TRUE	FALSE	0	0	0		28.67699641657570	77.39189079891590
anand vihar isbt	AVIT	TRUE	TRUE	FALSE	0	0	0		28.64663565781940	77.31549288769280
azadpur	AZU	TRUE	TRUE	TRUE	51	491	48	Near Gate Number-04	28.70704725481930	77.18039310308110
bata chowk	BACH	TRUE	TRUE	TRUE	10	250	20	Near Gate No. 3	28.385946036793800	77.31343573189720
badarpur border	BAPB	TRUE	TRUE	TRUE	143	1372	133	Near Gate No.1	28.493271591667500	77.30301328434300
botanical garden	BCGN	FALSE	TRUE	TRUE	20	750	175	Near Gate No. 3	28.563934552185100	77.33439597099500
haiderpur badli mor	BIMR	TRUE	TRUE	TRUE	57	552	54	Near Gate Number- 1 & 2	28.730033660647300	77.14909482610350
bhikaji cama place	BKCP	FALSE	TRUE	FALSE	0	0	0		28.570208	77.187866
badkal mor	BKMR	TRUE	TRUE	FALSE	0	0	0		28.422707	77.310234
barakhamba road	BRKR	FALSE	TRUE	FALSE	0	0	0			
bahadurgarh city	BUSS	TRUE	TRUE	FALSE	0	0	0		28.690784	76.935265
raja nahar singh (ballabhgarh)	BVHM	FALSE	TRUE	TRUE	100	200	150	Near Gate No. 2		
chirag delhi	CDLI	FALSE	TRUE	FALSE	0	0	0		28.541229	77.229385
chandni chowk	CHK	FALSE	TRUE	FALSE	0	0	0		28.658423266430600	77.23034221054350
chhatarpur	CHTP	TRUE	TRUE	TRUE	84	810	79	Near Gate No. 2	28.506584	77.174866
brig. hoshiar singh	CIPK	TRUE	TRUE	TRUE	54	517	50	Near Gate No. 2		
civil lines	CL	FALSE	TRUE	FALSE	0	0	0		28.676945	77.224953
